treat,village_code,female,bl_has_children,bl_own_livestock,bl_emp_self,bl_emp_wage,el_health_index
0,10104005,1,1,0,0,0,1.026443
0,10104005,1,1,0,0,0,.1244689
0,10104005,0,0,0,0,0,.4610814
0,10104005,0,0,0,0,0,-3.01634
0,10104005,1,1,1,0,0,-2.063572
1,10104007,1,1,0,1,0,.0696852
1,10104007,0,1,1,0,0,.517567
1,10104007,0,1,0,0,0,.968554
1,10104007,1,1,0,0,0,-1.246354
1,10104007,1,1,0,0,0,.3823792
0,10104008,1,1,0,0,0,.9679422
0,10104008,0,1,1,0,0,1.013759
0,10104008,1,1,0,0,0,-.1385525
0,10104008,0,1,0,0,1,-.5000266
0,10104008,1,1,0,0,0,-.1910263
0,10104008,1,1,0,0,0,-1.575092
0,10104008,0,0,0,1,0,-.0301657
1,10104009,1,1,0,0,1,.9716591
1,10104009,1,1,0,0,1,-.8335651
1,10104009,1,1,0,0,1,1.136443
1,10104009,1,0,0,0,0,-.1113525
1,10104009,1,1,0,0,0,-1.136642
1,10104009,1,0,0,0,0,-1.857578
0,10104011,1,1,0,1,0,.2723792
0,10104011,1,1,0,0,0,-.345075
0,10104011,1,1,0,0,0,1.026443
0,10104011,1,1,0,0,0,1.026443
0,10104011,0,1,0,0,1,-2.266464
0,10104011,1,1,1,1,0,1.026443
1,10105004,1,0,0,1,1,.0539293
1,10105004,1,1,1,0,1,1.01272
1,10105004,1,0,0,0,0,-1.332714
1,10105004,1,1,0,0,1,.2069454
1,10105004,1,1,0,0,0,-1.103948
1,10105004,1,1,1,0,0,-3.982512
1,10105006,1,1,0,0,1,-.3398333
1,10105006,1,1,1,0,0,.9716591
1,10105006,1,1,0,0,0,-.3398333
1,10105006,1,1,0,0,0,.3153875
1,10105006,1,1,0,0,0,.1759683
1,10105007,0,1,0,1,0,1.123759
1,10105007,1,1,1,0,0,.6854559
1,10105007,1,1,0,0,1,.9716591
1,10105007,1,0,0,1,0,.1759683
1,10105007,1,1,0,0,0,-.2193192
1,10105007,0,1,0,0,1,.5224495
1,10105007,1,1,0,0,0,1.093698
1,10105007,1,1,0,1,0,.5206721
1,10105008,1,1,1,0,0,.9716591
1,10105008,0,1,0,1,0,.968554
1,10105008,1,1,0,0,0,.9716591
1,10105008,1,1,0,0,0,.2344689
1,10105008,1,1,0,0,0,1.136443
0,10105009,0,1,0,0,1,-.04342
0,10105009,0,1,0,0,0,-.3156254
0,10105009,1,1,0,0,1,-1.246414
0,10105009,1,1,0,0,1,.8616591
0,10105009,0,1,1,1,0,.1244689
0,10105009,1,1,0,0,0,1.026443
0,10105009,1,1,0,0,1,-.5139502
0,10105011,1,1,0,0,0,1.026443
